architecture,compiler,optimization,label,num_basic_blocks,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,instruction_count,immediate_entropy,bitwise_op_density,table_lookup_presence,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count
riscv,gcc,O1,SHA-256,8,3,0,0,0.0,2.125,17,1.1500931287774931,0.05625,1,8,0.0,0.2790697674418604,0.0465116279069767,0.1395348837209302,0.0,0.0,0.0465116279069767,1,1,0,0,0,0,0,4,2,12,0.1395348837209302,4.669352470954944,2.1014301753828404,0.1764705882352941,11
riscv,gcc,O1,SHA-256,5,3,0,0,0.0,1.8,9,1.4739984688051873,0.1,1,8,0.0,0.2962962962962963,0.074074074074074,0.074074074074074,0.0,0.0,0.074074074074074,1,1,0,0,0,0,0,4,2,8,0.074074074074074,3.8252517372886494,2.124533798139251,0.3333333333333333,7
riscv,gcc,O1,SHA-256,7,3,0,0,0.0,2.2857142857142856,16,1.084795263633717,0.0561224489795918,1,12,0.0,0.2553191489361702,0.0425531914893617,0.1276595744680851,0.0,0.0,0.0638297872340425,1,1,0,0,0,0,16,5,3,12,0.1276595744680851,4.716971518573993,2.0691343303983043,0.1875,14
riscv,gcc,O1,SHA-256,1,1,0,0,0.0,3.0,3,1.303515793128299,0.2,0,2,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0,1,0,0,0,0,0,1,1,2,0.0,2.646439344671016,1.9219280948873625,0.3333333333333333,2
riscv,gcc,O1,SHA-256,1,1,0,0,0.0,3.0,3,2.1604572813985072,0.2,0,4,0.0,0.4,0.0,0.0,0.0,0.0,0.2,1,1,0,0,0,0,0,1,1,2,0.0,3.121928094887362,1.9219280948873625,0.3333333333333333,2
mips,gcc,O0,SHA-256,1,1,0,0,0.0,14.0,14,1.3050869157816476,0.175,1,24,0.0,0.225,0.125,0.15,0.0,0.0,0.05,1,1,0,0,0,0,20,7,2,11,0.15,4.207932932498733,2.6869944335473868,0.0714285714285714,13
mips,gcc,O0,SHA-256,1,2,1,1,1.0,35.0,35,1.4608483126901814,0.2125,1,48,0.0,0.2125,0.15,0.15,0.0,0.0,0.0625,1,1,0,0,1,0,32,17,5,17,0.15,4.624620028531053,2.494021230167629,0.0571428571428571,28
mips,gcc,O0,SHA-256,4,3,2,2,0.4,12.75,51,1.2071449180913385,0.0766055949566587,1,90,0.0,0.2481203007518796,0.0526315789473684,0.18796992481203,0.0,0.0,0.0300751879699248,1,1,0,0,1,0,48,11,4,33,0.18796992481203,4.557625294175776,2.2650081855139064,0.0588235294117647,32
mips,gcc,O0,SHA-256,1,1,0,0,0.0,25.0,25,1.1539872989755764,0.25,1,44,0.0,0.1875,0.2291666666666666,0.125,0.0,0.0,0.0208333333333333,1,1,0,0,0,0,20,12,1,12,0.125,4.556057612755156,2.6097504000189105,0.04,20
mips,gcc,O0,SHA-256,1,2,1,1,1.0,33.0,33,1.4575901657336734,0.1318681318681318,1,56,0.0,0.2307692307692307,0.1208791208791208,0.1758241758241758,0.0,0.0,0.0109890109890109,1,1,0,0,1,0,40,12,1,21,0.1758241758241758,4.688239831635488,2.2468411292134247,0.0606060606060606,24
